Rank,Country,Region,Continent,Legalized Same-Sex Marriage,Year of Legalization,Marriage Points (+50),Worker Protections,Worker Points (+50),Protections Against Discrimination,Legal Points (+50),Criminalization of Violence,Hate Violence Points (+50),Adoption Recognition,Adoption Points(+50),Poll Ranking,Poll Points (+100),Illegal Relationships,Illegal Points (-100),Propaganda/Morality Laws,Morality Points (-50),Trans Legal Identity Laws,"Category
1 = Change w/o surgery (26 to 50 pts) (with hormones only = 30 pts)
2 = Change with surgery (1 to 25 pts)
3 = no rights (0 pts)
4 = illegal (-30 to -50 pts)","Trans Points
(+50 to -50)",Trans Murders per million from 2008 to 2022,"Score 
(worst is -100)
(best is 0)",LGBTQ TRAVEL SAFETY INDEX,Grade
20,Austria,Central Europe,Europe,Legal,2019,32,Protection for Sexual Orientation (Only),25,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,74,74,,,,,Gender identity change allowed on documents without surgery requirements,,50,0.11,-1.23,305,A-
21,Australia,Oceania,Oceania,Legal,2017,35,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Incitement and Hate Crimes Some states,30,Joint & Second Parent Adoption,50,81,81,,,,,"Some states require surgery to change certain documents, while the commonwealth as a whole will permit gender change on things like passports and Medicare requires only a letter.",,35,0.16,-1.72,304,A-
22,Finland,Northern Europe,Europe,Legal,2017,35,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,82,82,,,,,Must be sterilized in order to change gender on docs,,10,0.18,-1.97,300,A-
23,Guam,Oceania,Oceania,Legal,2015,37,Protection for Sexual Orientation and Gender Identity,50,Limited (employment),10,Hate Crimes,50,Joint & Second Parent Adoption,50,77,77,,,,,Sworn statement required from physician that surgery has occurred,,25,0,0,299,A-
24,New Zealand,Oceania,Oceania,Legal,2013,38,Protection for Sexual Orientation (Only),25,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,80,80,,,,,"Change permitted with certain evidence that a person has ""acquired a physical conformation that accords with their gender identity."" Recent rulings note that this does not always require surgery, but sometimes it still does. Self-ID to be implemented in 2023. ",,35,0.41,-4.44,299,A-
25,United States,North America,North America,Legal,2015,37,Protection for Sexual Orientation and Gender Identity,50,Limited,10,Hate Crimes,50,Joint & Second Parent Adoption,50,82,82,,,Some states prohibit “advocacy of homosexuality” in schools,-10,"Since April 11, 2022 US Passports give the sex/gender options of male, female and X by self determination. However, some states require SRS to change gender and many bills are being proposed and passed that target trans people https://www.nbcnews.com/nbc-out/out-politics-and-policy/nearly-240-anti-lgbtq-bills-filed-2022-far-targeting-trans-people-rcna20418",,35,1.14,-12.46,292,B+
26,Virgin Islands (US),North America,North America,Legal,2015,37,,,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,77,77,,,,,"Legal, no surgery required",,50,0,0,289,B+
27,Croatia,Balkans,Europe,Civil Union/Partnership,2003,26,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,37,37,,,,,No surgery required,,50,0,0,288,B+
28,Slovenia,Central Europe,Europe,Legal,2022,28,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Incitement to Hatred/Violence,25,Joint & Second Parent Adoption,50,53,53,,,,,No requirements for sterilization or surgery since 2011.,,50,0,0,281,B+
29,Cuba,South America,South America,Legal,2022,28,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,,,Joint & Second Parent Adoption,50,54,54,,,,,"Legal, Surgery not required",,50,0.27,-2.89,279,B+
30,Argentina,South America,South America,Legal,2010,41,Limited (varies by region),15,Limited,10,Hate Crimes,50,Joint & Second Parent Adoption,50,71,71,,,,,"Not only is document change allowed without doctor or judge approval, gender reassignment and hormone therapy are provided for in public and private health care plans. No age requirement, even a 6 y/o girl has had her identity recognized. Argentina has been widely lauded by global rights and health organizations as being exemplary in this area, though there has historically been hate violence against trans folk. The government has set up a pension for trans people older than 40 who do not have registered employment, as part of a reparation program for historical violations fo rights.",,50,2.52,-27.44,260,B
31,Costa Rica,Central America,South America,Legal,2020,31,Protection for Sexual Orientation (Only),25,Limited,10,Hate Crimes,50,Joint & Second Parent Adoption,50,62,62,,,,,"On 28 June 2018, President Carlos Alvarado issued an executive decree requiring all state institutions to modify the documents and internal records of transgender people who wish to have their name, photograph or sex changed. The decree applies to passports, driving licenses, ID documents, work permits, university identification, etc.[42][43] Costa Rican officials announced that this was in accordance with the January 2018 Inter-American Court of Human Rights ruling. In December 2018, President Alvarado signed another executive order extending this right to immigrants.[44]

Additionally, hormone replacement therapy is financed by the state health system.[44]",,50,1.78,-19.45,259,B
32,Andorra,Western Europe,Europe,Civil Union/Partnership,2014,17,Protection for Sexual Orientation (Only),25,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,48,48,,,,,"Legal, surgery not required (effective 2023)",,40,0,0,255,B
33,Brazil,South America,South America,Legal,2013,38,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,75,75,,,,,"The Supreme Federal Court ruled on March 1, 2018 that a transgender person has the right to change their official name and sex without the need of surgery or professional evaluation, just by self-declaration of their psychosocial identity.",,50,8.25,-90,248,B
34,Puerto Rico,North America,North America,Legal,2015,37,Protection for Sexual Orientation and Gender Identity,50,Limited (employment),10,Hate Crimes,50,Joint & Second Parent Adoption,50,73,59,,,,,"Law prohibiting gender change struck down in 2017. Medicaid explicity covers medical transition support, including surgery and hormone therapy. Medical professional certification of gender identity requited, but no surgery",,50,5.64,-61.49,245,B
35,Greece,Southern Europe,Europe,Civil Union/Partnership,2015,16,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,,,49,49,,,,,"No surgery needed, ID docs able to be changed by persons 17 and up without medical interventions of any kind. people age 15-17 can also do so under certain conditions, which usually include medical certificate. 

In June 2018, a Greek court ruled that foreign transgender people, including refugees and immigrants, also have the right to the recognition of their gender identity, marking the first time that this right is extended beyond the definition of the 2017 Legal Gender Recognition Law, which restricted this right to Greek citizens only.[66]",,50,0.09,-1.01,239,B
36,Colombia,South America,South America,Legal,2016,36,Protection for Sexual Orientation (Only),25,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,63,63,,,,,"Since 2015 applicants over 18 may change their gender on legal documents without need of surgery, examinations, or diagnosis. Name may be changed more than once. ",,40,4.63,-50.5,238,B
37,San Marino,Southern Europe,Europe,Civil Union/Partnership,2019,15,Sexual Orientation and Gender Identity,50,Constitutional Protections,50,Hate Crimes,50,Second Parent Adoption,25,48,48,,,,,No rights,,0,0,0,238,B
38,Ecuador,South America,South America,Legal,2019,34,Protection for Sexual Orientation (Only),25,Constitutional Protections,50,Hate Crimes,50,,,50,50,,,,,"The Gender Identity Law (Spanish: Ley Orgánica de Gestión de la Identidad y Datos Civiles), approved in 2016, allows Ecuadorians to state their gender identity instead of the sex assigned at birth. The law distributes new legal ID cards to those wishing to change their gender and birth name.[21][22]",,50,3.28,-35.8,223,B-
39,Bolivia,South America,South America,Only a small handful of same-sex couples have registered their union. It's so minimal that I think any points would be too many since there is no real infrastructure for recognizing marriage beyond individual petitions,,,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,Hate Crimes,50,,,45,45,,,,,"A person can change their name, gender, and photos on legal documents if they're over 18 y/o. A psychological soundness test is required, but surgery is not. Reversal of modifications is possible only once. New gender NOT recognized for purposes of marriage, and Bolivian law only recognizes opposit-sex marriages.",,50,2,-21.8,223,B-
40,Estonia,Northern Europe,Europe,Civil Union/Partnership,2016,15,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Incitement to Hatred/Violence,25,Second Parent Adoption,25,41,41,,,,,No surgery required,,50,0.75,-8.2,223,B-
41,Israel,Middle East,Asia,Foreign,2006,10,Protection for Sexual Orientation (Only),25,Broad Protections,25,Limited,10,Joint & Second Parent Adoption,50,45,45,,,,,"Since 2015, the Health Ministry has allowed transgender people to change legal gender without undergoing sex reassignment surgery or a sex change operation.[46]",,50,0,0,215,B-
42,Mexico,North America,North America,Legal,2015,37,Protection for Sexual Orientation (Only),25,Constitutional Protections,50,Incitement to Hatred/Violence,30,Limited,10,65,65,,,,,"Since January 2022, legal, no surgery required",,50,5.09,-55.5,211,B-
43,Peru,South America,South America,,,,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,,,45,45,,,,,Transgender people in Peru may apply for a gender change before a judge without the need for sex reassignment surgery.,,50,1.26,-13.76,206,C+
44,Nepal,South Asia,Asia,,,,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,,,,,88,88,,,,,"Legal, but requires surgery. Hormone therapy and reassignment surgery not performed in Nepal, or are extremely costly. Three genders available on documents. In 2019, there were discussions in Parliament to require applicants to undergo sex changes in order to apply for an ""O"" sex descriptor.[34]",,20,0.18,-1.91,206,C+
45,Kosovo,Balkans,Europe,,,,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,Hate Crimes,50,Second parent only for now but pending joint as of Dec 2022,25,21,21,,,,,No rights,,0,0,0,196,C+
46,Cyprus,Southern Europe,Europe,Civil Union/Partnership,2015,16,Protection for Sexual Orientation (Only),25,Broad Protections,25,Hate Crimes,50,,,41,41,,,,,"Legislation potentially pending. The legislation would allow transgender people over 18 to right to change their legal gender on the basis of self-determination, without a diagnosis, hormonal treatment or sex reassignment surgery.[20]",,35,0,0,192,C+
47,Slovakia,Central Europe,Europe,,,,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,,,46,46,,,,,"As of November 18, 2022, because of lack of regulation and standards, healthcare providers in Slovakia are refusing to provide transgender care, which forces trans people living in Slovakia to seek healthcare abroad, and some civil registry offices are refusing to process any applications to change legal gender, citing lack of regulation and telling them to wait for approval of the new standards of care by the Ministry of Health, meaning change of legal gender is close to impossible to achieve.",,20,0,0,191,C+
48,Taiwan,East Asia,Asia,Legal,2019,32,Protection for Sexual Orientation (Only),25,Broad Protections,25,,,Second Parent Adoption,25,56,56,,,,,Surgery required,,25,0,0,188,C+
49,Czech Republic,Central Europe,Europe,Civil Union/Partnership,2006,25,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,,,,,70,70,,,,,"Legal, but requires surgery. In order to be covered by health insurance, a request for change of gender markers and treatment is assessed by a commission at the Ministry of Health. After being approved, the applicant undergoes one year of hormonal treatment, which is followed by one year of living in the social role of the other gender, including e.g. wearing what is judged to be ""appropriate dress"". After this two-year treatment, the applicant's genitalia may be surgically changed.[37]",,15,0,0,185,C+
50,Angola,Central Africa,Africa, ,,,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,Hate Crimes,50,,,13,13,,,,,"Ambiguous

However, section 87 gives the Civil Registrar general authority to make changes, including changes of name and when there is a change of facts which alter the legal identity and status of the person. Transgender people could possibly use this section to change their legal gender.[33]",,20,0,0,183,C+
51,India,South Asia,Asia,,,,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,,,,,58,58,,,,,"India has traditionally recognised a third gender population, considered by society as neither male or female. A person would have the right to choose to be identified as male, female or ""transgender"". However, transgender people are required to go to a district magistrate to have their gender identity certified, and require proof of sex reassignment surgery. ",,20,0.08,-0.91,177,C
52,Serbia,Balkans,Europe,,,,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,,,20,20,,,,,"Can change legal gender with a confirmation from a psychiatrist and an endocrinologist after a year of hormone replacement therapy, without undergoing any surgical procedure.[1][2] More than half coverage for trans procedures provided by state insurance",,30,0.29,-3.14,172,C
53,Italy,Southern Europe,Europe,Civil Union/Partnership,2016,15,Protection for Sexual Orientation (Only),25,Limited,10,,,,,77,77,,,,,Surgery not required,,50,0.75,-8.14,169,C
54,Montenegro,Southeast Europe,Europe,Civil Union/Partnership,2020,12,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,,,20,20,,,,,"Transgender people in Montenegro are allowed to change legal gender, but require undergoing sex reassignment surgery, sterilization, divorce if married and receiving a medical diagnosis to do so.[1]",,10,0,0,167,C
55,Ukraine,Eastern Europe,Europe,,,,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,,,Second Parent Adoption,25,20,20,,,,,"Legal without surgery, but ""transsexuality"" is a psychiatric diagnosis",,45,0,0,165,C
56,North Macedonia,Balkans,Europe,,,,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,,,13,13,,,,,"Interesting note: In 2019, North Macedonia was ranked the tenth worst European country for LGBT tourists.[19]

Legal but requires surgery. Legislation proposed to end this requirement is stalled: https://balkaninsight.com/2022/03/23/north-macedonia-dismays-activists-by-withdrawing-gender-change-bill/",,25,0,0,163,C
57,Bulgaria,Balkans,Europe,Foreign,2018,10,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Incitement to Hatred/Violence,25,,,39,39,,,,,"When a person undergoes sex reassignment surgery, they can change their passport, driver's license, personal identity document, birth certificate and uniform civil number to match their new sex. One cannot undergo sex reassignment surgery unless going to court and receiving a positive court decision. Other requirements include being at least 18 years of age and undergoing sterilization.[20] Furthermore, such procedures are not covered by the state, and thus can be very costly.[21]",,10,0,0,159,C
58,Nicaragua,Central America,South America,,,,Protection for Sexual Orientation and Gender Identity,50,Limited,10,Hate Crimes,50,,,61,61,,,,,No rights,,0,1.38,-15,156,C
59,Georgia,Eastern Europe,Europe,,,,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,,,13,13,,,,,Surgery required,,25,0.81,-8.79,154,C
60,Lithuania,Central Europe,Europe,Foreign/Limited (cohabitation),2019,5,Protection for Sexual Orientation (Only),25,Broad Protections,25,Hate Crimes,50,,,30,30,,,Activities or publications against “established family values”,-25,"Legal, Surgery not required, but not solidified in country's law yet, from what I can tell. Governed by Europe's laws and court rulings on the matter.",,40,0,0,150,C
61,Liechtenstein,Central Europe,Europe,Civil Union/Partnership,2011,19,,,Broad Protections,25,Incitement,25,Second parent only for now but pending joint as of Dec 2022,25,48,48,,,,,No rights,,0,0,0,142,C-
62,Thailand,Southeast Asia,Asia,,,,Protection for Sexual Orientation and Gender Identity,50,"Limited (no employment, religion, public interest protections)",10,,,,,54,54,,,,,"In addition, a transgender person who has not had a ""change of sex"" could possibly use the Identification Act 2 of 1996. The act states that ""if an identity document does not reflect correctly the particulars of the person to whom it was issued, or contains a photograph which is no longer a recognizable image of that person"" the Minister shall cancel it and replace it with an improved identity document.",,30,0.32,-3.45,141,C-
63,Bosnia and Herzegovina,Balkans,Europe,,,,Protection for Sexual Orientation (Only),25,Broad Protections,25,Hate Crimes,50,,,13,13,,,,,Transgender people may change their legal gender in Bosnia and Herzegovina after having undergone sex reassignment surgery and other medical treatments.[3][4],,25,0,0,138,C-
64,Aruba,South America,South America,Civil Union/Partnership (recognized but not performed),2016,15,Protection for Sexual Orientation (Only),25,Broad Protections,25,Incitement to Hatred/Violence,25,,,48,48,,,,,No rights,,0,0,0,138,C-
65,Romania,Balkans,Europe,,,,Protection for Sexual Orientation (Only),25,Broad Protections,25,Hate Crimes,50,,,27,27,,,,,"Surgery required, difficult to get.",,10,0,0,137,C-
66,Suriname,South America,South America,,,,Protection for Sexual Orientation (Only),25,Constitutional Protections,50,"Indirect discrimination, hate speech",25,,,36,36,,,,,No rights,,0,0,0,136,C-
67,Hungary,Central Europe,Europe,Civil Union/Partnership,2009,22,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,,,40,40,,,Hungary’s parliament has passed a law banning gay people from featuring in school educational materials or TV shows for under-18s,-10,"Thanks to COVID-19 emergency powers, a bill was passed making it impossible for individuals to change their legal gender.",,-40,0.1,-1.11,136,C-
68,Cabo Verde,West Africa,Africa,,,,Protection for Sexual Orientation (Only),25,,,Hate Crimes,50,,,0,0,,,,,"Legal, surgery not required",,50,0,0,125,C-
69,Fiji,Oceania,Oceania,,,,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,Limited,10,,,12,12,,,,,Surgery required,,25,2.25,-24.52,122,C-
70,Mongolia,East Asia,Asia,,,,,,Broad Protections,25,Hate Crimes,50,,,17,17,,,,,Surgery required,,25,0,0,117,D+
71,Botswana,South Africa,Africa,,,,Protection for Sexual Orientation (Only),25,Constitutional Protections,50,,,,,23,23,,,,,"Two instances of trans people appealing to change legal ID. Still not law. where a transgender woman sought to change her gender marker to female, was heard in December 2017. The High Court ruled that the Government must recognise her gender identity.[33] She dedicated her victory to ""every single trans diverse person in Botswana"".",,10,0,0,108,D+
72,Albania,Balkans,Europe, ,,,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,,,15,15,,,,,Illegal to change legal gender,,-40,0.35,-3.82,96,D+
73,Japan,East Asia,Asia,Civil Union/Partnership,2022,11,Limited,15,Limited,10,,,,,35,35,,,,,"Legal document change with approval. Requires being over 22 years old, unmarried, undergoing sex reassignment surgery, sterilization, and have no minor children. ",,25,0.01,-0.09,96,D+
74,Moldova,Eastern Europe,Europe,Foreign,2015,10,Protection for Sexual Orientation (Only),25,Limited,10,"Limited to enforcement of media incitement, hate speech, etc. Wikipedia",15,,,10,10,,,,,"Change legal, requires surgery. ALL documents can be changed once surgery performed and change certificate issued.",,25,0,0,95,D+
75,Latvia,Northern Europe,Europe,Civil Union/Partnership,2022,11,Protection for Sexual Orientation (Only),25,,,,,,,34,34,,,,,Surgery required,,25,0,0,95,D+
76,"Korea, Republic of",East Asia,Asia,,,,Limited,15,Limited,10,,,,,37,37,,,,,"Legally, documents can be changed after sex-reassignment surgery, however several transgender citizens have successfully petitioned to change their gender without surgery. ",,30,0.04,-0.43,92,D+
77,Sint Maarten (Dutch),Carribean,North America,"Foreign (NL marriage recognized), legalizaation pending March 2023",2010,10,Protection for Sexual Orientation (Only),25,Broad Protections,25,Incitement to Hatred/Violence,25,,,0,0,,,,,No rights,,0,0,0,85,D
78,Northern Mariana Islands,Oceania,Oceania,,,,Limited,10,,,,,Joint & Second Parent Adoption,50,0,0,,,,,Surgery required,,25,0,0,85,D
79,Marshall Islands,Oceania,Oceania,,,,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Limited,10,,,0,0,,,,,No rights,,0,0,0,85,D
80,Curacao,Carribean,North America,"Foreign (NL marriage recognized), legalizaation pending March 2023",2010,10,Protection for Sexual Orientation (Only),25,Broad Protections,25,Incitement,25,,,0,0,,,,,No rights,,0,0,0,85,D
